pX,pY,pZ,roll,pitch,yaw,timestep
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3550627
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3561333
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3576629
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3593518
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3615912
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3633361
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3652159
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3677009
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3689520
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3696761
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3716371
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3734218
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3745521
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3766260
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3786165
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3797482
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3819441
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3831900
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3849602
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3864840
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3881085
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3897545
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3914751
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3932706
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3948579
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3965459
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,3983371
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,4005959
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,4011528
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,4032901
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,4049298
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,4063067
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,4082212
0.1080747,0.005003169,0.2812884,-3.469628E-06,0.174283,3.585326E-05,4109256
